"","time","close","high","low","open","volumefrom","volumeto"
"997",2019-07-30 05:36:00,9439.41,9445.56,9439.33,9445.56,4.825,45554.8
"998",2019-07-30 05:37:00,9438.92,9440.91,9436.6,9439.41,37.89,357173.06
"999",2019-07-30 05:38:00,9436.37,9438.96,9435.01,9438.92,17.62,166114.32
"1000",2019-07-30 05:39:00,9434.15,9440.4,9433,9436.37,22.71,214184.79
"1001",2019-07-30 05:40:00,9429.99,9435.28,9429.99,9434.15,2.333,22049.23
"1002",2019-07-30 05:41:00,9431.97,9432.4,9429.47,9429.99,13.86,130647.1
"1003",2019-07-30 05:42:00,9435.04,9435.21,9429.12,9431.97,6.581,62010.38
"1004",2019-07-30 05:43:00,9436.35,9436.37,9433.52,9435.04,54.29,511440.09
"1005",2019-07-30 05:44:00,9441.71,9442.46,9436.35,9436.35,16.77,158425.68
"1006",2019-07-30 05:45:00,9440.07,9441.71,9437.4,9441.71,2.25,21219.31
"1007",2019-07-30 05:46:00,9434,9440.07,9433.98,9440.07,2.253,21283.96
"1008",2019-07-30 05:47:00,9430.14,9436.28,9430.14,9434,4.698,44337.93
"1009",2019-07-30 05:48:00,9430.9,9433.08,9430.03,9430.14,2.582,24409.73
"1010",2019-07-30 05:49:00,9441.15,9441.15,9430.9,9430.9,42.19,398113.9
"1011",2019-07-30 05:50:00,9440.64,9441.69,9439.59,9441.15,12.61,119268.23
"1012",2019-07-30 05:51:00,9444.41,9444.41,9439.54,9440.64,18.83,177996.78
"1013",2019-07-30 05:52:00,9440.6,9445.08,9438.71,9444.41,7.415,70311.35
"1014",2019-07-30 05:53:00,9445.61,9445.61,9440.18,9440.6,8.917,84474.49
"1015",2019-07-30 05:54:00,9442.75,9446.21,9441.58,9445.61,10.93,103454.59
"1016",2019-07-30 05:55:00,9450.32,9450.32,9442.75,9442.75,16.99,161120.48
"1017",2019-07-30 05:56:00,9450.23,9450.32,9448.43,9450.32,21.55,203852.84
"1018",2019-07-30 05:57:00,9441.33,9450.25,9441.16,9450.23,18.76,177393.66
"1019",2019-07-30 05:58:00,9445.87,9447.94,9441.33,9441.33,7.586,71936.71
"1020",2019-07-30 05:59:00,9448.31,9449.46,9445.28,9445.87,8.104,76997.75
"1021",2019-07-30 06:00:00,9471.57,9472.3,9447.45,9448.31,111.28,1052469.33
"1022",2019-07-30 06:01:00,9465.99,9474.09,9465.98,9471.57,18.87,178758.7
"1023",2019-07-30 06:02:00,9468.72,9469.21,9465.99,9465.99,11.74,111285.59
"1024",2019-07-30 06:03:00,9464.87,9468.72,9463.57,9468.72,8.182,77613.54
"1025",2019-07-30 06:04:00,9465.06,9466.23,9462.79,9464.87,14.35,135906.02
"1026",2019-07-30 06:05:00,9468.65,9468.65,9463.91,9465.06,18.43,174463.68
"1027",2019-07-30 06:06:00,9471.1,9473.95,9467.03,9468.65,13.29,125896.57
"1028",2019-07-30 06:07:00,9472.89,9472.89,9470.06,9471.1,7.07,67059.12
"1029",2019-07-30 06:08:00,9472.39,9474.27,9472.25,9472.89,14.94,141563.18
"1030",2019-07-30 06:09:00,9471.53,9473.78,9469.78,9472.39,17.61,166853.25
"1031",2019-07-30 06:10:00,9471.93,9472.92,9471.34,9471.53,7.938,75299.34
"1032",2019-07-30 06:11:00,9471.58,9471.93,9470,9471.93,43.35,410923.36
"1033",2019-07-30 06:12:00,9471.42,9471.95,9470.15,9471.58,15.9,150612.72
"1034",2019-07-30 06:13:00,9460.69,9471.74,9460.69,9471.42,93.18,882303.86
"1035",2019-07-30 06:14:00,9466.75,9468.94,9460,9460.69,12.48,118326.94
"1036",2019-07-30 06:15:00,9467.27,9468.83,9465.43,9466.75,5.511,52269.87
"1037",2019-07-30 06:16:00,9473,9473,9465.7,9467.27,9.327,88505.33
"1038",2019-07-30 06:17:00,9473.05,9473.76,9468.51,9473,7.498,71102.93
"1039",2019-07-30 06:18:00,9474.51,9474.67,9472.38,9473.05,7.574,71904.53
"1040",2019-07-30 06:19:00,9473.58,9474.51,9471.88,9474.51,6.218,58914.77
"1041",2019-07-30 06:20:00,9470.25,9473.78,9467.62,9473.58,20.16,190852.24
"1042",2019-07-30 06:21:00,9474.09,9474.09,9468.97,9470.25,8.508,80560.59
"1043",2019-07-30 06:22:00,9471.04,9474.09,9469.56,9474.09,3.185,30343.21
"1044",2019-07-30 06:23:00,9470.49,9471.04,9468.59,9471.04,1.95,18452.23
"1045",2019-07-30 06:24:00,9470.71,9470.93,9469.17,9470.49,4.569,43314.04
"1046",2019-07-30 06:25:00,9470.19,9471.45,9469.95,9470.71,2.865,27144.33
"1047",2019-07-30 06:26:00,9473.71,9473.76,9470.19,9470.19,4.645,44019.26
"1048",2019-07-30 06:27:00,9476.14,9476.14,9472.37,9473.71,10.13,95920.58
"1049",2019-07-30 06:28:00,9480.63,9480.94,9476.14,9476.14,7.802,73959.9
"1050",2019-07-30 06:29:00,9477.21,9480.79,9477.21,9480.63,2.585,24532.64
"1051",2019-07-30 06:30:00,9483.17,9483.17,9477.21,9477.21,7.482,70939.24
"1052",2019-07-30 06:31:00,9503.64,9503.81,9483,9483.17,76.65,727934.45
"1053",2019-07-30 06:32:00,9496.24,9503.64,9494.75,9503.64,15.91,151120.51
"1054",2019-07-30 06:33:00,9492.14,9496.24,9490.68,9496.24,11.52,109527.19
"1055",2019-07-30 06:34:00,9502.17,9502.17,9492.14,9492.14,5.249,49825.71
"1056",2019-07-30 06:35:00,9505.11,9507.87,9502.17,9502.17,23.8,226184.19
"1057",2019-07-30 06:36:00,9503.59,9505.9,9501.51,9505.11,27.03,256830.87
"1058",2019-07-30 06:37:00,9506.5,9506.8,9503.59,9503.59,5.49,52164.95
"1059",2019-07-30 06:38:00,9521.57,9523.52,9503.51,9506.5,48.29,459451.9
"1060",2019-07-30 06:39:00,9510.14,9521.57,9510.14,9521.57,17.78,169052
"1061",2019-07-30 06:40:00,9519.9,9519.9,9509.93,9510.14,18.96,180370.79
"1062",2019-07-30 06:41:00,9516.89,9522.26,9516.89,9519.9,11.08,105394.6
"1063",2019-07-30 06:42:00,9509.01,9516.89,9509.01,9516.89,2.306,21961.2
"1064",2019-07-30 06:43:00,9503.45,9509.6,9500.91,9509.01,12.34,117215.35
"1065",2019-07-30 06:44:00,9508.03,9508.04,9499.85,9503.45,119.18,1134439.16
"1066",2019-07-30 06:45:00,9511.55,9515.15,9508.03,9508.03,66.61,633888.58
"1067",2019-07-30 06:46:00,9512.68,9515.18,9508.35,9511.55,8.313,79070.47
"1068",2019-07-30 06:47:00,9513.11,9513.11,9509.02,9512.68,22.43,213280.45
"1069",2019-07-30 06:48:00,9519.93,9520.07,9512.96,9513.11,7.058,67205.55
"1070",2019-07-30 06:49:00,9516.31,9520.43,9516.02,9519.93,27.68,263536.23
"1071",2019-07-30 06:50:00,9513.88,9516.98,9513.8,9516.31,6.074,57771.39
"1072",2019-07-30 06:51:00,9516.81,9517.44,9513.79,9513.88,6.073,57766.97
"1073",2019-07-30 06:52:00,9517.77,9517.77,9516.8,9516.81,2.748,26178.12
"1074",2019-07-30 06:53:00,9517.96,9518.06,9516.19,9517.77,3.191,30389.21
"1075",2019-07-30 06:54:00,9517.75,9517.96,9516.71,9517.96,6.37,60638.37
"1076",2019-07-30 06:55:00,9518,9518.39,9517.75,9517.75,11.06,105652.12
"1077",2019-07-30 06:56:00,9510.09,9518.27,9510.09,9518,18.11,172229.16
"1078",2019-07-30 06:57:00,9508.57,9511.74,9508.08,9510.09,11.79,112102.44
"1079",2019-07-30 06:58:00,9508.13,9508.58,9508.12,9508.57,3.186,30307.96
"1080",2019-07-30 06:59:00,9504.37,9509.07,9503.52,9508.13,7.844,75099.18
"1081",2019-07-30 07:00:00,9501.1,9504.37,9498.92,9504.37,2.624,24942.2
"1082",2019-07-30 07:01:00,9498,9501.21,9497.97,9501.1,2.787,26514.89
"1083",2019-07-30 07:02:00,9497.44,9499.9,9497.44,9498,7.863,74747.34
"1084",2019-07-30 07:03:00,9495.93,9497.48,9494.33,9497.44,15.42,146358.16
"1085",2019-07-30 07:04:00,9492.5,9496.26,9492.09,9495.93,31.38,297993.75
"1086",2019-07-30 07:05:00,9494.51,9495.41,9492.5,9492.5,20.4,193592.69
"1087",2019-07-30 07:06:00,9494.73,9495.1,9493.1,9494.51,8.873,84301.66
"1088",2019-07-30 07:07:00,9494.72,9495.06,9494.64,9494.73,2.983,28370.19
"1089",2019-07-30 07:08:00,9498.55,9498.96,9494.46,9494.72,1.274,12131.86
"1090",2019-07-30 07:09:00,9498.81,9498.99,9498.55,9498.55,5.71,54237
"1091",2019-07-30 07:10:00,9499.18,9499.19,9498.23,9498.81,3.84,36446.8
"1092",2019-07-30 07:11:00,9498.86,9499.82,9498.86,9499.18,3.491,33189.81
"1093",2019-07-30 07:12:00,9498.69,9499.35,9498.03,9498.86,7.724,73389.47
"1094",2019-07-30 07:13:00,9501.06,9501.11,9498.5,9498.69,2.369,22493.75
"1095",2019-07-30 07:14:00,9505.79,9506.68,9501.06,9501.06,15.79,150049.55
"1096",2019-07-30 07:15:00,9506.94,9508.12,9505.79,9505.79,15.16,144136.42
"1097",2019-07-30 07:16:00,9507.12,9508.86,9506.09,9506.94,2.485,23602.79
"1098",2019-07-30 07:17:00,9507.81,9509.18,9507.12,9507.12,7.84,74524.99
"1099",2019-07-30 07:18:00,9507.47,9508.51,9506.54,9507.81,5.024,47790.79
"1100",2019-07-30 07:19:00,9497.61,9507.5,9497.57,9507.47,8.05,76453.5
"1101",2019-07-30 07:20:00,9506.71,9507.23,9497.61,9497.61,5.016,47628.74
"1102",2019-07-30 07:21:00,9504.13,9506.71,9504.13,9506.71,5.218,49596.2
"1103",2019-07-30 07:22:00,9504.06,9505.53,9503.93,9504.13,23.34,223415.65
"1104",2019-07-30 07:23:00,9502.58,9504.06,9502.53,9504.06,17.63,167953.93
"1105",2019-07-30 07:24:00,9500.7,9502.61,9499.82,9502.58,14.69,139482.92
"1106",2019-07-30 07:25:00,9501.05,9501.53,9497.74,9500.7,11.87,112643.65
"1107",2019-07-30 07:26:00,9499.46,9501.05,9499.28,9501.05,3.105,29476.91
"1108",2019-07-30 07:27:00,9501.08,9501.1,9499.46,9499.46,11.58,109948.7
"1109",2019-07-30 07:28:00,9497.86,9501.12,9497.86,9501.08,11.73,111313.2
"1110",2019-07-30 07:29:00,9497.21,9497.97,9496.65,9497.86,13.19,125171.1
"1111",2019-07-30 07:30:00,9491.57,9497.21,9491.57,9497.21,7.827,74284.32
"1112",2019-07-30 07:31:00,9490.37,9492.93,9489.4,9491.57,9.447,89600.81
"1113",2019-07-30 07:32:00,9485.1,9490.37,9484.86,9490.37,7.456,70664.98
"1114",2019-07-30 07:33:00,9488.16,9488.2,9485.1,9485.1,4.182,40060.6
"1115",2019-07-30 07:34:00,9493.64,9493.64,9487.39,9488.16,5.672,53788.23
"1116",2019-07-30 07:35:00,9499.78,9499.78,9493.6,9493.64,13.96,132660.81
"1117",2019-07-30 07:36:00,9495.89,9499.78,9495.88,9499.78,2.537,24088.99
"1118",2019-07-30 07:37:00,9494.58,9497.51,9494.58,9495.89,12.92,122607.62
"1119",2019-07-30 07:38:00,9493.2,9495.55,9493.2,9494.58,4.251,40379.72
"1120",2019-07-30 07:39:00,9493.31,9494.28,9492.12,9493.2,2.482,23555.8
"1121",2019-07-30 07:40:00,9491.63,9493.31,9490.13,9493.31,5.279,50149.55
"1122",2019-07-30 07:41:00,9498.27,9498.27,9491.63,9491.63,5.559,52755.16
"1123",2019-07-30 07:42:00,9502.94,9503.02,9497.41,9498.27,5.114,48603.85
"1124",2019-07-30 07:43:00,9503.1,9504.16,9502.26,9502.94,4.016,38156.64
"1125",2019-07-30 07:44:00,9502.6,9503.11,9502.26,9503.1,6.078,58038.72
"1126",2019-07-30 07:45:00,9501.75,9502.65,9501.08,9502.6,2.897,27727.84
"1127",2019-07-30 07:46:00,9501.41,9501.75,9500.99,9501.75,4.953,47067.7
"1128",2019-07-30 07:47:00,9500.79,9501.41,9500.01,9501.41,2.046,19615.54
"1129",2019-07-30 07:48:00,9498.97,9500.96,9498.95,9500.79,2.087,19973.16
"1130",2019-07-30 07:49:00,9500.76,9500.76,9498.58,9498.97,11.39,108206.81
"1131",2019-07-30 07:50:00,9499.16,9500.96,9499.16,9500.76,4.077,38753.82
"1132",2019-07-30 07:51:00,9498.8,9499.87,9498.03,9499.16,0.7753,7361.95
"1133",2019-07-30 07:52:00,9497.76,9498.8,9497.53,9498.8,9.645,91598.35
"1134",2019-07-30 07:53:00,9496.5,9498.08,9496.5,9497.76,2.298,21862.09
"1135",2019-07-30 07:54:00,9494.3,9497.2,9494.3,9496.5,10.85,103049.37
"1136",2019-07-30 07:55:00,9491.97,9494.91,9491.57,9494.3,18.48,176371.99
"1137",2019-07-30 07:56:00,9491.86,9492.33,9490.84,9491.97,5.716,54262.95
"1138",2019-07-30 07:57:00,9494.08,9494.08,9490.4,9491.86,4.287,40675.28
"1139",2019-07-30 07:58:00,9491.99,9494.31,9491.78,9494.08,6.116,58097.9
"1140",2019-07-30 07:59:00,9495.73,9495.95,9491.88,9491.99,3.523,33485.09
"1141",2019-07-30 08:00:00,9505.74,9507.72,9494.91,9495.73,5.87,55743.57
"1142",2019-07-30 08:01:00,9510.06,9510.12,9505.74,9505.74,16.02,152361.98
"1143",2019-07-30 08:02:00,9509.53,9510.94,9509.5,9510.06,2.389,22730.18
"1144",2019-07-30 08:03:00,9509.2,9509.67,9508.38,9509.53,8.741,83041.33
"1145",2019-07-30 08:04:00,9509.3,9509.91,9509.12,9509.2,1.601,15202.38
"1146",2019-07-30 08:05:00,9507.9,9509.32,9507.11,9509.3,4.373,41592.54
"1147",2019-07-30 08:06:00,9509.59,9509.6,9507.9,9507.9,7.248,68896.93
"1148",2019-07-30 08:07:00,9510.41,9510.43,9509.27,9509.59,6.097,57949.06
"1149",2019-07-30 08:08:00,9512.44,9512.44,9509.71,9510.41,10.64,101090.79
"1150",2019-07-30 08:09:00,9517.23,9522.47,9512.23,9512.44,39.52,375673.49
"1151",2019-07-30 08:10:00,9519.02,9519.02,9516.27,9517.23,5.942,56530.98
"1152",2019-07-30 08:11:00,9515.78,9522.26,9514.24,9519.02,9.826,93577.94
"1153",2019-07-30 08:12:00,9509.82,9516.25,9509.82,9515.78,12.3,118242.72
"1154",2019-07-30 08:13:00,9508.14,9510.66,9507.41,9509.82,2.917,27718.93
"1155",2019-07-30 08:14:00,9504.93,9509.38,9504.93,9508.14,6.349,60362.87
"1156",2019-07-30 08:15:00,9506.78,9507.22,9504.07,9504.93,3.667,34892.25
"1157",2019-07-30 08:16:00,9504.32,9506.78,9503.44,9506.78,3.538,33606.45
"1158",2019-07-30 08:17:00,9505.44,9505.46,9501.47,9504.32,6.133,58197.89
"1159",2019-07-30 08:18:00,9502.87,9505.44,9502.7,9505.44,18.2,172979.02
"1160",2019-07-30 08:19:00,9500.86,9502.87,9500.09,9502.87,1.605,15247.03
"1161",2019-07-30 08:20:00,9504.85,9504.85,9499.31,9500.86,5.29,50268.16
"1162",2019-07-30 08:21:00,9503.12,9505.73,9503.12,9504.85,9.227,87686.04
"1163",2019-07-30 08:22:00,9506.23,9506.35,9503.12,9503.12,7.79,74981.66
"1164",2019-07-30 08:23:00,9501.13,9506.42,9501.13,9506.23,2.947,27997.24
"1165",2019-07-30 08:24:00,9501.25,9501.3,9500.28,9501.13,3.171,30173.51
"1166",2019-07-30 08:25:00,9500.24,9501.4,9499.86,9501.25,4.769,45303.34
"1167",2019-07-30 08:26:00,9500.26,9500.87,9499.42,9500.24,6.559,62263.29
"1168",2019-07-30 08:27:00,9501.93,9503.37,9500.26,9500.26,4.81,45757.72
"1169",2019-07-30 08:28:00,9503.89,9503.89,9501.91,9501.93,4.342,41280.15
"1170",2019-07-30 08:29:00,9503.95,9504.57,9503.12,9503.89,0.8794,8353.59
"1171",2019-07-30 08:30:00,9499.53,9503.95,9499.22,9503.95,9.349,88859.45
"1172",2019-07-30 08:31:00,9499.41,9500.39,9499.41,9499.53,2.446,23218.85
"1173",2019-07-30 08:32:00,9497.27,9499.95,9495.82,9499.41,4.582,43533.02
"1174",2019-07-30 08:33:00,9496.09,9497.27,9495.94,9497.27,7.718,74380.86
"1175",2019-07-30 08:34:00,9503.57,9503.74,9496.01,9496.09,8.772,84338.07
"1176",2019-07-30 08:35:00,9501.84,9503.68,9501.54,9503.57,6.969,66220.52
"1177",2019-07-30 08:36:00,9500.99,9501.84,9500.98,9501.84,10.77,102236.08
"1178",2019-07-30 08:37:00,9501.12,9501.12,9500.39,9500.99,1.502,14263.27
"1179",2019-07-30 08:38:00,9500.26,9501.2,9500.04,9501.12,5.526,52589.19
"1180",2019-07-30 08:39:00,9497.63,9500.26,9496.5,9500.26,6.391,60760.15
"1181",2019-07-30 08:40:00,9496.41,9498.56,9496.17,9497.63,3.741,35500.2
"1182",2019-07-30 08:41:00,9496.88,9498.32,9496.27,9496.41,21.22,201326.79
"1183",2019-07-30 08:42:00,9498.99,9498.99,9495.95,9496.88,6.292,59860.05
"1184",2019-07-30 08:43:00,9498.74,9499.37,9498.73,9498.99,0.8725,8281.57
"1185",2019-07-30 08:44:00,9496.49,9498.74,9495.55,9498.74,10.47,100438.23
"1186",2019-07-30 08:45:00,9495.39,9496.54,9494.62,9496.49,3.503,33254.29
"1187",2019-07-30 08:46:00,9494.23,9496.25,9493.91,9495.39,2.637,25073.86
"1188",2019-07-30 08:47:00,9494.56,9494.63,9493.44,9494.23,1.659,15732.81
"1189",2019-07-30 08:48:00,9495.98,9495.98,9492.72,9494.56,24.95,236685.67
"1190",2019-07-30 08:49:00,9494.71,9495.98,9494.56,9495.98,0.6599,6313.82
"1191",2019-07-30 08:50:00,9493.66,9496.22,9493.66,9494.71,6.007,57063.27
"1192",2019-07-30 08:51:00,9495.98,9495.99,9492.12,9493.66,0.4348,4125.66
"1193",2019-07-30 08:52:00,9495.32,9496.12,9495.07,9495.98,4.391,41719.54
"1194",2019-07-30 08:53:00,9494.34,9495.32,9493.98,9495.32,0.9891,9420.43
