,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
64,2019-07-27 06:00:00,0.8426510416666666,0.6933066406249999,0.11983138020833334,0.23778906249999998,0.037520833333333364,0.06890234374999998,0.18559466145833334,0.1826562500000004,10081.19,10097.5,10076.94,10081.92,507.87,5113646.1,-0.7299999999995634,0
65,2019-07-27 07:00:00,0.847810276679842,0.7069593450028242,0.11204573687182383,0.2201417278373804,0.04013946922642575,0.07290513833992093,0.16132631281761728,0.16439181253529067,10076.41,10094.56,10051.81,10081.19,699.22,7046370.48,-4.780000000000655,0
66,2019-07-27 08:00:00,0.8458731543624166,0.7012738255033559,0.11436375838926173,0.22464697986577162,0.03976442953020135,0.07408053691275171,0.17438080536912764,0.16727422818791962,10084.1,10100.68,10064.18,10076.41,469.71,4738177.62,7.690000000000509,1
67,2019-07-27 09:00:00,0.8460238709677419,0.7155716129032261,0.11313290322580656,0.21406645161290336,0.040845806451612926,0.07035677419354838,0.17364161290322602,0.16588245161290358,10062.94,10089.05,10062.57,10084.1,530.09,5341966.06,-21.159999999999854,0
68,2019-07-27 10:00:00,0.8373262857142861,0.6983600000000001,0.11463085714285715,0.22228171428571442,0.048042285714285655,0.07936228571428579,0.146714628571429,0.15516611428571472,9518.17,10068.41,9443.83,10062.94,11517.89,110479461.05,-544.7700000000004,0
69,2019-07-27 11:00:00,0.8312203663793103,0.6829568965517248,0.12125323275862067,0.23361745689655208,0.0475237068965517,0.08343103448275857,0.16027473060344827,0.15606557112068978,9506.54,9532.91,9440.76,9518.17,3202.89,30407367.35,-11.6299999999992,0
70,2019-07-27 12:00:00,0.8373066542577947,0.6954634713820371,0.11804327594229874,0.22712284783620282,0.044647277803629586,0.07741786877617499,0.1635334574220565,0.16136133085155874,9412.31,9506.54,9366.33,9506.54,4130.94,38907946.39,-94.23000000000138,0
71,2019-07-27 13:00:00,0.8417962616822422,0.6932621495327085,0.11689065420560735,0.22850233644859805,0.04131542056074765,0.07823644859813077,0.17187112149532724,0.1639333644859814,9425.91,9463.22,9389.56,9412.31,1815.09,17132843.54,13.600000000000364,1
72,2019-07-27 14:00:00,0.8430139599813877,0.7081544904606788,0.11583108422522119,0.22527873429502146,0.04115495579339233,0.06656491391344811,0.17569809213587745,0.17403671475104698,9432.75,9470.73,9416.57,9425.91,1563.63,14776194.45,6.8400000000001455,1
73,2019-07-27 15:00:00,0.8401597191750765,0.7066924089512935,0.11606186924089508,0.21834488810882,0.04377621763931544,0.07496401930671344,0.16597494515138256,0.16361004826678416,9424.28,9454.23,9310.47,9432.75,4252.06,39953472.73,-8.469999999999345,0
74,2019-07-27 16:00:00,0.8410927213722766,0.7000241075567919,0.1146147426981922,0.22108993973110833,0.04429253592953175,0.07888873435326836,0.1640666666666669,0.16228284654612904,9438.51,9470.67,9401.06,9424.28,1238.79,11685228.92,14.229999999999563,1
75,2019-07-27 17:00:00,0.8415794346978549,0.6984615009746589,0.11585038986354756,0.2264444444444448,0.0425648148148148,0.07509307992202727,0.17105019493177365,0.1694426900584798,9452.61,9469.06,9424.62,9438.51,871.09,8232681.22,14.100000000000364,1
76,2019-07-27 18:00:00,0.8417736503219417,0.6980292223873191,0.1163343239227339,0.22784299157999063,0.04189499752352648,0.07412630014858834,0.17005834571570103,0.17023719663199627,9401.46,9458.74,9379.08,9452.61,1457.56,13732009.27,-51.150000000001455,0
77,2019-07-27 19:00:00,0.837052798310456,0.6974598732840548,0.1171853220696937,0.22374709609292567,0.04576346356916576,0.0787903907074974,0.1675655227032738,0.16185591341077127,9407.01,9460.62,9388.54,9401.46,1146.43,10806475.34,5.550000000001091,1
78,2019-07-27 20:00:00,0.838134844192634,0.6913031161473084,0.11866118980169982,0.23240509915014193,0.04321133144475922,0.07629405099150141,0.1716686118980172,0.16878390934844223,9449.85,9451.7,9386.32,9407.01,882.39,8318357.01,42.840000000000146,1
79,2019-07-27 21:00:00,0.8461861575178998,0.710683174224342,0.10804176610978532,0.20639439140811425,0.04576909307875894,0.08292482100238673,0.1464330548926015,0.14005465393794775,9507.26,9523.77,9446.74,9449.85,1081.34,10258897.6,57.409999999999854,1
